time_stamp [milli-sec],actor_1_x,actor_1_y
102,-0.26170188200251393,4.9868931387094655
203,-0.37390585801665815,4.977402019911836
306,-0.5073760433258775,4.974602426457915
408,-0.6595938081421442,4.977160849074276
509,-0.8282910576639527,4.990447920273818
610,-1.011178307010272,5.012281647127764
711,-1.2052784777597156,5.030183366597628
813,-1.4067822390151528,5.029792636754576
914,-1.610572855248715,4.990246993641125
1018,-1.818725330849868,4.974841683335456
1119,-2.028833669170148,4.9772230419895065
1220,-2.2386044807832093,4.996040315169818
1321,-2.444169113172896,5.019056630608197
1424,-2.6409504144244975,5.031061418517049
1525,-2.8256368045226536,5.027132858029077
1626,-2.994024196358378,4.9885502038136895
1729,-3.1502340160439535,4.975757933245399
1830,-3.2897622802517064,4.9744250193729895
1933,-3.4090241759751394,4.977402086819768
2039,-3.5098868960983056,4.983486168894061
2141,-3.6418821866989246,4.992912953547917
2245,-3.7145449949098115,4.985619559546479
2346,-3.7387131226628143,4.970696180866731
2450,-3.726057446599745,4.951696271403709
2553,-3.6853739786481254,4.935862346061084
2654,-3.6276724967612,4.925567482954653
2755,-3.5664357021822637,4.923240644818576
2857,-3.512793723156648,4.9341022512113195
2958,-3.477653529192268,4.963307698408443
3059,-3.468874323381739,5.01615207296436
3160,-3.471538442343159,5.10125161450635
3261,-3.4802369628741125,5.215838186748127
3364,-3.5169986958035966,5.356693554558089
3465,-3.5247436793015106,5.506196822259774
3568,-3.5242201935739312,5.658753637785014
3671,-3.5170108248240295,5.806978628647594
3772,-3.501567035020278,5.943650968695415
3877,-3.4876638620864853,6.063695034885435
3978,-3.476931025885503,6.159989664734184
4079,-3.4679894510109905,6.226267087466471
4184,-3.423537003804893,6.279567608638231
4303,-3.3729331683830375,6.298766957238041
4404,-3.318286326881948,6.303835629979316
4507,-3.2709427995938682,6.297480647568039
4611,-3.2413366038767566,6.282399564037184
4713,-3.2386280294253753,6.263152931505828
4821,-3.273352742768811,6.243246303384393
4924,-3.358757654507094,6.19933552479675
5026,-3.4966790230263842,6.179373407833412
5127,-3.596516567283843,6.174718297586195
5228,-3.718861925593436,6.175423234654828
5329,-3.862884802795779,6.179613393925686
5431,-4.026636445508114,6.197472370068335
5532,-4.206377589120873,6.217598163555334
5633,-4.398429754624079,6.231065403389617
5737,-4.599524687743534,6.227293094232134
5848,-4.806947533690663,6.184037819665849
5950,-5.021374092299873,6.174432948757733
6053,-5.310594989798178,6.186852992688013
6160,-5.454206703151407,6.2023740491258215
6261,-5.735391353425686,6.230431906406333
6362,-5.939452217508775,6.228566209927699
6463,-6.1368893397675315,6.189613163252304
6565,-6.261134014073767,6.177859766047874
6666,-6.488418922879661,6.175333967269809
6768,-6.590276995330354,6.178475595512802
6869,-6.726177595897263,6.190918085983004
6972,-6.840401039457085,6.203611705785829
7076,-6.960377493144365,6.224162072746454
7178,-7.107941553507475,6.326802116577105
7279,-7.15690252267901,6.441320602095396
7380,-7.16121350691951,6.562865282755142
7481,-7.12883136457832,6.619456556202208
7585,-7.076129167478148,6.710788384777298
7686,-6.994097507998018,6.758934872131134
7790,-6.9363292518009905,6.702312213917897
7891,-6.896483730915323,6.53736648637867
7992,-6.896783199258684,6.354557461693962
8094,-6.921313593018951,6.121051132222323
8198,-6.930861292670319,5.90361336535379
8300,-6.924535995822818,5.713771361325529
8401,-6.88076081959528,5.505160076622069
8504,-6.874983521546287,5.27490961405827
8605,-6.88035060922233,5.110719398617975
8707,-6.908365520477108,4.849240099182519
8811,-6.930894931983435,4.479124347380969
8912,-6.885684223841116,4.191067716223919
9013,-6.874452739862594,3.9916131583718197
9114,-6.897880927062846,3.5782707366322035
9215,-6.930131615008114,3.259896927466214
9319,-6.928978421775419,3.045722095805172
9422,-6.874515570682563,2.61313780280425
9525,-6.888049138125155,2.2857757980781708
9626,-6.925565491365735,1.959567681882565
9727,-6.930956492024208,1.7432040855983768
9831,-6.876006693379941,1.3129308850788572
9932,-6.879728844664689,0.9981004528454579
10037,-6.913875990765362,0.6929172210414754
10143,-6.931304132750026,0.3965316950621118
10247,-6.8906077250255935,0.10714916232177603
10351,-6.874642475672697,-0.16751608254466616
10456,-6.883899490100852,-0.4252992986286813
10559,-6.9122293235992895,-0.6649772122195979
10663,-6.930894670753197,-0.8871574921407557
10764,-6.928142360793747,-1.0906480850695737
10866,-6.8893014754053015,-1.2733654350066919
10967,-6.876044372899306,-1.430203093128666
11073,-6.877808384423286,-1.6727257024197626
11175,-6.910496608787683,-1.920608998253737
11276,-6.94131436380923,-2.048382820931536
11379,-6.964188799881808,-2.0768438891728134
11481,-6.985970022106026,-2.0329578757210607
